"name","sex","election_type","district","party","initials","position"
"Raúl Estrada Niñoles","","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Manuela Martín Antequera","","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Eduardo Ruiz Carrillo","","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Francisco Miguel Sánchez Zurita","","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
"Ana Llorca Ardilla","","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","5"
"Martín Enrique Florencio Soldini","","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","6"
"María Mercedes Alfonso Mas","","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","7"
"David Anibal Rubio de Antón","","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","8"
"Juan Antonio Mora Csatellanos","","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","9"
"María del Carmen Mascaró Fuster","","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","10"
"Francisco José Fernández Lloret","","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","11"
"Caridad Crespo Torres","","congress","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","12"
"Rita Gertrudis Bosaho Gori","","congress","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","1"
"Ignasi Candela Serna","","congress","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","2"
"Rubén Martínez Dalmau","","congress","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","3"
"Vicent Molina Perona","","congress","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","4"
"Noelia Olivares González","","congress","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","5"
"Beatriz Nadal Rodríguez","","congress","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","6"
"Sonia Calderón España","","congress","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","7"
"Mercedes Menor Cespedes","","congress","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","8"
"Christian Fortanet Van Assendelft de Coningh","","congress","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","9"
"Gerard Fullana Martínez","","congress","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","10"
"María Natividad Martínez Ruiz","","congress","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","11"
"Francisco Javier Esquembre Menor","","congress","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","12"
"Encarna Llinares Cuesta","","senate","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"María Teresa Maciá Milla","","senate","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Pedro Boj Giménez","","senate","ALICANTE/ALACANT","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Maria Adelaida Pedrosa Roldán","","senate","ALICANTE/ALACANT","PARTIDO POPULAR","PP","1"
"Asunción Sánchez Zaplana","","senate","ALICANTE/ALACANT","PARTIDO POPULAR","PP","2"
"Agustín Almodobar Barceló","","senate","ALICANTE/ALACANT","PARTIDO POPULAR","PP","3"
"María Quiles Bailen","","senate","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Faustino Cesar Alonso Puig","","senate","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"María de los Reyes Nogueiras Porras","","senate","ALICANTE/ALACANT","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Lola Llorca Giner","","senate","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC)","1"
"Diego Beltrán Farpón","","senate","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC)","2"
"Alberto Francisco Fuggini Catalán","","senate","ALICANTE/ALACANT","UNITAT POPULAR:ESQUERRA UNIDA DEL PAÍS VALENCIÀ, UNITAT POPULAR EN COMÚN","EUPV-UPeC)","3"
"Juan Bautista Puigcerver Donat","","senate","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Rosa María Martín Palacios","","senate","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Jaime Palleja Martínez","","senate","ALICANTE/ALACANT","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Vicenta Jiménez García","","senate","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","1"
"Albert Ramón Poveda Gadea","","senate","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","2"
"Isaac Torregrosa Cecilia","","senate","ALICANTE/ALACANT","COMPROMÍS-PODEMOS-ÉS EL MOMENT","PODEMOS-COMPROMÍS","3"
"Sonia Ferrer Tesoro","1","congress","ALMERÍA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Juan Jiménez Tortosa","0","congress","ALMERÍA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"Isabel Arévalo Barrionuevo","1","congress","ALMERÍA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Francisco Joaquín Giménez Felices","0","congress","ALMERÍA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","4"
"María López Cervantes","1","congress","ALMERÍA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","5"
"Rubén Rodríguez Giménez","0","congress","ALMERÍA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","6"
"Diego Clemente Giménez","0","congress","ALMERÍA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Arturo Ángel Ortiz Alarcón","0","congress","ALMERÍA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Joaquín Fernández Cortés","0","congress","ALMERÍA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"María Dolores Martín Arévalo","1","congress","ALMERÍA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","4"
"Almudena Serrano Felices","1","congress","ALMERÍA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","5"
"Irene Gálvez González","1","congress","ALMERÍA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","6"
"Rafael Antonio Hernando Fraile","0","congress","ALMERÍA","PARTIDO POPULAR","PP","1"
"Juan José Matarí Sáez","0","congress","ALMERÍA","PARTIDO POPULAR","PP","2"
"Eloísa María Cabrera Carmona","1","congress","ALMERÍA","PARTIDO POPULAR","PP","3"
"Jesús Caicedo Bernabé","0","congress","ALMERÍA","PARTIDO POPULAR","PP","4"
"Magdalena Elizabeth Martínez López","1","congress","ALMERÍA","PARTIDO POPULAR","PP","5"
"Dolores Moreno Sobrino","1","congress","ALMERÍA","PARTIDO POPULAR","PP","6"
"Matías Campillo Boj","0","congress","ALMERÍA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","1"
"Salvador Marcet Orozco","0","congress","ALMERÍA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","2"
"Verónica Tévar Gómez","1","congress","ALMERÍA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","3"
"Fernando Ramón Sánchez Rodríguez","0","congress","ALMERÍA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","4"
"Sandra Cabrera Garzón","1","congress","ALMERÍA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","5"
"Ana María Hernández Porcel","1","congress","ALMERÍA","UNIÓN PROGRESO Y DEMOCRACIA","UPyD","6"
"David Bravo Bueno","0","congress","ALMERÍA","PODEMOS","PODEMOS","1"
"María Remedios Giménez Rodríguez","1","congress","ALMERÍA","PODEMOS","PODEMOS","2"
"Eduardo Valderrama Cerezo","0","congress","ALMERÍA","PODEMOS","PODEMOS","3"
"María del Consuelo González García","1","congress","ALMERÍA","PODEMOS","PODEMOS","4"
"Antonio Almagro Ramírez","0","congress","ALMERÍA","PODEMOS","PODEMOS","5"
"Noelia Márquez Ortiz","1","congress","ALMERÍA","PODEMOS","PODEMOS","6"
"Sonia Barreiro Martínez","1","congress","ALMERÍA","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA,UPeC","1"
"Roberto Álvarez Gómez","0","congress","ALMERÍA","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA,UPeC","2"
"Angelina Concepción Orea González","1","congress","ALMERÍA","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA,UPeC","3"
"Juan Antonio López Escobar","0","congress","ALMERÍA","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA,UPeC","4"
"María del Pilar del Barco Martínez","1","congress","ALMERÍA","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA,UPeC","5"
"Manuel Pérez Galdeano","0","congress","ALMERÍA","UNIDAD POPULAR: IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA POR ANDALUCÍA, UNIDAD POPULAR EN COMÚN","IULV-CA,UPeC","6"
"Juan Carlos Pérez Navas","0","senate","ALMERÍA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","1"
"Rosa María Pintos Muñoz","1","senate","ALMERÍA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","2"
"José Berruezo Padilla","0","senate","ALMERÍA","PARTIDO SOCIALISTA OBRERO ESPAÑOL","PSOE","3"
"Jesús Vicente Soler","0","senate","ALMERÍA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","1"
"Juan Jesús Cano Castañeda","0","senate","ALMERÍA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","2"
"Rosa Alcaraz Pardo","1","senate","ALMERÍA","CIUDADANOS-PARTIDO DE LA CIUDADANÍA","C's","3"
"Luis Rogelio Rodríguez Comendador Pérez","0","senate","ALMERÍA","PARTIDO POPULAR","PP","1"
"Eugenio Jesús Gonzálvez García","0","senate","ALMERÍA","PARTIDO POPULAR","PP","2"
