"name", "sex", "election_type", "party", "initials", "position", "account"
"Maria Dolors Vidal Guiu", "", "congress", "PARTIT DELS SOCIALISTES DE CATALUNYA", "PSC-PSOE", "3", "No result found for Maria Dolors Vidal Guiu of PSC-PSOE in LLEIDA"
"Eudald Ibars Pontí", "", "congress", "PARTIT DELS SOCIALISTES DE CATALUNYA", "PSC-PSOE", "4", "https://twitter.com/EudaldIbars"
"Xavier Eritja i Ciuró", "", "congress", "ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ", "ERC-CATSI", "1", "https://twitter.com/Xavier_Eritja"
"Carme Lostao i Otero", "", "congress", "ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ", "ERC-CATSI", "2", "https://twitter.com/macarcam"
"Ramon Solé i Moyà", "", "congress", "ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ", "ERC-CATSI", "3", "https://twitter.com/RamonSoleMoya"
"Meritxell Bonjoch i Riart", "", "congress", "ESQUERRA REPUBLICANA DE CATALUNYA-CATALUNYA SÍ", "ERC-CATSI", "4", "No result found for Meritxell Bonjoch i Riart of ERC-CATSI in LLEIDA"
"José Ignacio Llorens Torres", "", "congress", "PARTIDO POPULAR", "PP", "1", "https://twitter.com/ccifuentes"
"María José Horcajada Bell-Lloch", "", "congress", "PARTIDO POPULAR", "PP", "2", "https://twitter.com/ManuelMmrr"
"Irene Pardo Romera", "", "congress", "PARTIDO POPULAR", "PP", "3", "https://twitter.com/ipardo_romera"
"Miguel Angel Balao Garcia", "", "congress", "PARTIDO POPULAR", "PP", "4", "https://twitter.com/cheyemXVI"
"Enrique Sanjurjo Portús", "", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "1", "No result found for Enrique Sanjurjo Portús of UPyD in LLEIDA"
"Tanya Karina Pareja Jiménez", "", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "2", "https://twitter.com/Lavalehermosa2"
"Jacinto de Melchor i Garcia", "", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "3", "No result found for Jacinto de Melchor i Garcia of UPyD in LLEIDA"
"Nuria Montserrat Guitián Sánchez", "", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "4", "https://twitter.com/josepdomene"
"Óscar Uceda Márquez", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "1", "https://twitter.com/uceda_oscar"
"Sergio Casanova Ramírez", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "2", "https://twitter.com/sergioalonso3"
"Sofia Molinero Alvarez", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "3", "https://twitter.com/sophie_su_"
"Cristina Daza Requena", "", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "4", "https://twitter.com/uniolleida"
"Jaume Moya Matas", "", "congress", "EN COMÚ PODEM", "EN COMÚ", "1", "https://twitter.com/JaumeMoyaM"
"Victoria Pacheco Moreno", "", "congress", "EN COMÚ PODEM", "EN COMÚ", "2", "No result found for Victoria Pacheco Moreno of EN COMÚ in LLEIDA"
"Eduard Puigpelat Rodríguez", "", "congress", "EN COMÚ PODEM", "EN COMÚ", "3", "https://twitter.com/cristinaRvila"
"Laia Martí Cacho", "", "congress", "EN COMÚ PODEM", "EN COMÚ", "4", "https://twitter.com/laiaclaramunt"
"Joaquín María García Díez", "0", "congress", "PARTIDO POPULAR", "PP", "1", "https://twitter.com/Quin1954"
"Jaime Eduardo de Olano Vela", "0", "congress", "PARTIDO POPULAR", "PP", "2", "https://mobile.twitter.com/jaimedeolano"
"Mercedes Josefina González Alonso", "1", "congress", "PARTIDO POPULAR", "PP", "3", "https://twitter.com/ArturoGlz10"
"María Ana de Jesús Fernández Castro", "1", "congress", "PARTIDO POPULAR", "PP", "4", "https://twitter.com/Jefernandezmoya"
"Margarita Pérez Herráiz", "1", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "1", "https://twitter.com/PSdeG"
"Iago Fernández Pena", "0", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "2", "https://twitter.com/IagoFdezPena"
"Marta Jato Díaz", "1", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "3", "https://twitter.com/martasandia"
"Rodrigo Pavón Prieto", "0", "congress", "PARTIDO DOS SOCIALISTAS DE GALICIA-PSOE", "PSdeG-PSOE", "4", "https://twitter.com/rodrigodepavon"
"Isabel Ángela Cendán Fernández-Peinado", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "1", "No result found for Isabel Ángela Cendán Fernández-Peinado of C's in LUGO"
"Jesús Pérez Prada", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "2", "https://twitter.com/JesusPerezT"
"Óscar Regueiro Díaz", "0", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "3", "https://twitter.com/oscarlugodiaz"
"Raquel Jiménez Ferreiro", "1", "congress", "CIUDADANOS-PARTIDO DE LA CIUDADANÍA", "C's", "4", "https://twitter.com/RaquelBisuteria"
"Agustín Gallego Vigo", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "1", "https://twitter.com/LugoRunning"
"Beatriz Seivane Llanes", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "2", "https://twitter.com/ManuelLopez_MX"
"Marcelino Montoto Ledo", "0", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "3", "No result found for Marcelino Montoto Ledo of UPyD in LUGO"
"María Luisa Velasco Prieto", "1", "congress", "UNIÓN PROGRESO Y DEMOCRACIA", "UPyD", "4", "https://twitter.com/mariramudo"
"Miguel Anxo Elías Fernández Bello", "", "congress", "EN MAREA", "PODEMOS-EN MAREA-ANOVA-EU", "1", "https://twitter.com/MariaLugoP"
"Rocío Somoza López", "", "congress", "EN MAREA", "PODEMOS-EN MAREA-ANOVA-EU", "2", "https://twitter.com/leiher"
"José Manuel Pérez Afonso", "", "congress", "EN MAREA", "PODEMOS-EN MAREA-ANOVA-EU", "3", "https://twitter.com/mpalonso"
"Sol González-Ruiz Carcur", "", "congress", "EN MAREA", "PODEMOS-EN MAREA-ANOVA-EU", "4", "No result found for Sol González-Ruiz Carcur of PODEMOS-EN MAREA-ANOVA-EU in LUGO"
"Mariano Rajoy Brey", "0", "congress", "PARTIDO POPULAR", "PP", "1", "https://twitter.com/marianorajoy"
"María Soraya Sáenz de Santamaría Antón", "1", "congress", "PARTIDO POPULAR", "PP", "2", "https://twitter.com/sorayapp"
"Isabel García Tejerina", "1", "congress", "PARTIDO POPULAR", "PP", "3", "https://twitter.com/caballeroisabel"
"Cristóbal Ricardo Montoro Romero", "0", "congress", "PARTIDO POPULAR", "PP", "4", "https://twitter.com/cristobalsoria"
"Álvaro María Nadal Belda", "0", "congress", "PARTIDO POPULAR", "PP", "5", "https://twitter.com/AArbeloa17"
