"name", "sex", "election_type", "party", "initials", "position", "account"
"Juan Carlos Vera Pró", "0", "congress", "PARTIDO POPULAR", "PP", "6", "No result found for Juan Carlos Vera Pró of PP in MADRID"
"José Luis Ayllón Manso", "0", "congress", "PARTIDO POPULAR", "PP", "7", "https://twitter.com/jlayllon"
"María Teresa de Lara Carbó", "1", "congress", "PARTIDO POPULAR", "PP", "8", "No result found for María Teresa de Lara Carbó of PP in MADRID"
"María Carmen Álvarez-Arenas Cisneros", "1", "congress", "PARTIDO POPULAR", "PP", "9", "https://twitter.com/Catalinass15"
"Teófilo de Luis Rodríguez", "0", "congress", "PARTIDO POPULAR", "PP", "10", "https://twitter.com/Jamesdrodriguez"
"María Luz Bajo Prieto", "1", "congress", "PARTIDO POPULAR", "PP", "11", "https://twitter.com/Fescinal"
"José Ignacio Echániz Salgado", "0", "congress", "PARTIDO POPULAR", "PP", "12", "https://twitter.com/hoyenmadrid"
"Antonio Pablo González Terol", "0", "congress", "PARTIDO POPULAR", "PP", "13", "https://twitter.com/Aglezterol"
"María Mar Blanco Garrido", "1", "congress", "PARTIDO POPULAR", "PP", "14", "https://twitter.com/BlaancaNiieves"
"Francisco Martínez Vázquez", "0", "congress", "PARTIDO POPULAR", "PP", "15", "https://twitter.com/Fran_Vazquez_"
"Pilar Marcos Domínguez", "1", "congress", "PARTIDO POPULAR", "PP", "16", "https://twitter.com/pilarmarcosd"
"María Valentina Martínez Ferro", "1", "congress", "PARTIDO POPULAR", "PP", "17", "https://twitter.com/TormentaLibros"
"Mariano Pérez-Hickman Silván", "0", "congress", "PARTIDO POPULAR", "PP", "18", "https://twitter.com/marianophickman"
"Beatriz Rodríguez Salmones Cabeza", "1", "congress", "PARTIDO POPULAR", "PP", "19", "https://twitter.com/Sandra_Beatriz_"
"David Pérez García", "0", "congress", "PARTIDO POPULAR", "PP", "20", "https://twitter.com/davidperez"
"Pedro Luis Tanco Zuza", "0", "congress", "PARTIDO POPULAR", "PP", "21", "https://twitter.com/truste112"
"Víctor María Calvo-Sotelo Ibáñez-Martín", "0", "congress", "PARTIDO POPULAR", "PP", "22", "No result found for Víctor María Calvo-Sotelo Ibáñez-Martín of PP in MADRID"
"María Gador Ongil Cores", "1", "congress", "PARTIDO POPULAR", "PP", "23", "https://twitter.com/josemcarbo"
"Diego Lora Pagola", "0", "congress", "PARTIDO POPULAR", "PP", "24", "https://twitter.com/alfdeudona"
"María Isabel Orozco Pedroche", "1", "congress", "PARTIDO POPULAR", "PP", "25", "https://twitter.com/IsaGallard"
"Alejo Joaquín Miranda de Larra Arnaiz", "0", "congress", "PARTIDO POPULAR", "PP", "26", "https://twitter.com/AlejoMiranda"
"Isabel Natividad Díaz Ayuso", "1", "congress", "PARTIDO POPULAR", "PP", "27", "https://twitter.com/IdiazAyuso"
"David Erguido Cano", "0", "congress", "PARTIDO POPULAR", "PP", "28", "https://twitter.com/daviderguido"
"María Dolores Martínez Ojeda", "1", "congress", "PARTIDO POPULAR", "PP", "29", "https://twitter.com/kikamusicsecund"
"Ana Camins Martínez", "1", "congress", "PARTIDO POPULAR", "PP", "30", "https://twitter.com/anacamins"
"María del Carmen Díaz de Bustamante Cores", "1", "congress", "PARTIDO POPULAR", "PP", "31", "https://twitter.com/leirediezpas"
